User ID,Session ID,Timestamp,Page URL,Event Type,Referral Source,Device Type,Product ID,Conversion Flag,Last Activity Timestamp,Page Sequence/Order,Session Duration,Event Duration,Bounce Flag,Session Start Indicator,Exit Page,Location/Region
user_0,session_1088,2024-12-23 13:46:01,/home,add to cart,email,tablet,prod_70,0,2024-12-23 13:48:00,5,179,16.0,0,0,/blog/41,Canada
user_0,session_1472,2024-01-30 20:37:26,/search?q=shoes,page view,search engine,mobile,,0,2024-01-30 20:40:38,4,298,,0,0,/contact,UK
user_0,session_1639,2024-02-08 00:55:51,/search?q=smartphones,page view,direct,desktop,,0,2024-02-08 00:58:13,3,219,,0,0,/about-us,US
user_0,session_165,2024-09-29 21:14:10,/checkout,checkout,email,tablet,prod_75,0,2024-09-29 21:15:27,1,170,15.0,1,1,/product/5857,US
user_0,session_1707,2024-04-04 15:15:50,/product/7427,add to cart,email,mobile,prod_76,0,2024-04-04 15:17:36,4,63,30.0,0,0,/cart,Canada
user_0,session_1777,2024-06-27 20:55:51,/cart,purchase,search engine,tablet,prod_39,0,2024-06-27 20:57:15,6,223,18.0,0,0,/contact,Canada
user_0,session_1787,2024-06-02 16:06:59,/search?q=laptops,add to cart,email,tablet,prod_42,0,2024-06-02 16:11:40,1,240,57.0,0,1,/blog/27,Canada
user_0,session_1940,2024-11-06 13:22:18,/cart,checkout,search engine,desktop,prod_2,0,2024-11-06 13:24:23,3,24,28.0,0,0,/checkout,Australia
user_0,session_1984,2024-09-09 06:25:03,/cart,page view,direct,mobile,,0,2024-09-09 06:30:03,4,298,,1,0,/category/books,Australia
user_0,session_2147,2024-05-31 06:11:13,/search?q=smartphones,page view,social media,mobile,,1,2024-05-31 06:11:25,2,259,,0,0,/home,US
user_0,session_2281,2024-06-10 05:48:03,/product/9496,add to cart,email,desktop,prod_59,1,2024-06-10 05:50:18,4,136,37.0,0,0,/home,UK
user_0,session_2379,2024-05-20 16:11:20,/about-us,checkout,email,mobile,prod_55,0,2024-05-20 16:16:19,9,185,31.0,1,0,/product/9854,US
user_0,session_2416,2024-05-22 15:55:17,/product/7811,page view,direct,mobile,,0,2024-05-22 15:56:07,3,182,,1,0,/cart,Germany
user_0,session_2624,2024-01-22 22:45:01,/blog/31,checkout,search engine,tablet,prod_60,1,2024-01-22 22:47:53,10,178,29.0,0,0,/product/9769,US
user_0,session_2627,2024-08-07 13:14:09,/cart,add to cart,email,desktop,prod_12,0,2024-08-07 13:16:21,2,69,1.0,0,0,/category/home-goods,Australia
user_0,session_2917,2024-08-04 14:08:58,/blog/6,purchase,direct,desktop,prod_5,0,2024-08-04 14:12:20,7,174,47.0,0,0,/blog/3,US
user_0,session_3561,2024-04-28 09:07:03,/category/toys,page view,social media,mobile,,0,2024-04-28 09:11:51,7,247,,0,0,/home,Germany
user_0,session_3598,2024-06-04 11:08:39,/search?q=furniture,purchase,social media,mobile,prod_75,0,2024-06-04 11:13:29,5,79,45.0,0,0,/category/clothing,US
user_0,session_37,2024-07-31 04:24:32,/product/6363,purchase,social media,tablet,prod_68,0,2024-07-31 04:27:46,10,121,47.0,1,0,/blog/35,Canada
